MSG ID,Message Name,Length,Byte,Bit Start,Data Name,Description,Data Type,Min,Max,Scaled Min,Scaled Max,Map Equation,Units,For Indexing Purposes
,,,62,496,Cell 95 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,63,504,Cell 95 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
0x010,ACU Cell Data 4,64,,,,,,,,,,,,16
,,,0,0,Cell 96 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,1,8,Cell 96 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,2,16,Cell 97 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,3,24,Cell 97 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,4,32,Cell 98 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,5,40,Cell 98 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,6,48,Cell 99 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,7,56,Cell 99 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,8,64,Cell 100 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,9,72,Cell 100 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,10,80,Cell 101 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,11,88,Cell 101 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,12,96,Cell 102 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,13,104,Cell 102 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,14,112,Cell 103 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,15,120,Cell 103 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,16,128,Cell 104 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,17,136,Cell 104 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,18,144,Cell 105 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,19,152,Cell 105 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,20,160,Cell 106 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,21,168,Cell 106 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,22,176,Cell 107 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,23,184,Cell 107 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,24,192,Cell 108 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,25,200,Cell 108 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,26,208,Cell 109 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,27,216,Cell 109 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,28,224,Cell 110 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,29,232,Cell 110 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,30,240,Cell 111 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,31,248,Cell 111 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,32,256,Cell 112 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,33,264,Cell 112 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,34,272,Cell 113 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,35,280,Cell 113 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,36,288,Cell 114 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,37,296,Cell 114 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,38,304,Cell 115 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,39,312,Cell 115 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,40,320,Cell 116 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,41,328,Cell 116 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,42,336,Cell 117 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,43,344,Cell 117 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,44,352,Cell 118 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,45,360,Cell 118 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,46,368,Cell 119 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,47,376,Cell 119 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,48,384,Cell 120 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,49,392,Cell 120 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,50,400,Cell 121 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,51,408,Cell 121 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,52,416,Cell 122 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,53,424,Cell 122 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,54,432,Cell 123 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,55,440,Cell 123 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,56,448,Cell 124 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,57,456,Cell 124 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,58,464,Cell 125 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,59,472,Cell 125 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,60,480,Cell 126 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,61,488,Cell 126 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
,,,62,496,Cell 127 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,16
,,,63,504,Cell 127 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,16
0x011,ACU Cell Data 5,64,,,,,,,,,,,,17
,,,0,0,Cell 128 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,1,8,Cell 128 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,2,16,Cell 129 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,3,24,Cell 129 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,4,32,Cell 130 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,5,40,Cell 130 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,6,48,Cell 131 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,7,56,Cell 131 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,8,64,Cell 132 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,9,72,Cell 132 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,10,80,Cell 133 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,11,88,Cell 133 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,12,96,Cell 134 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,13,104,Cell 134 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,14,112,Cell 135 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,15,120,Cell 135 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,16,128,Cell 136 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,17,136,Cell 136 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,18,144,Cell 137 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,19,152,Cell 137 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,20,160,Cell 138 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,21,168,Cell 138 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,22,176,Cell 139 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,23,184,Cell 139 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,24,192,Cell 140 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,25,200,Cell 140 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,26,208,Cell 141 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,27,216,Cell 141 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,28,224,Cell 142 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,29,232,Cell 142 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,30,240,Cell 143 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,31,248,Cell 143 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,32,256,Cell 144 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,33,264,Cell 144 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,34,272,Cell 145 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,35,280,Cell 145 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,36,288,Cell 146 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,37,296,Cell 146 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,38,304,Cell 147 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,39,312,Cell 147 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,40,320,Cell 148 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,41,328,Cell 148 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,42,336,Cell 149 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,43,344,Cell 149 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,44,352,Cell 150 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,45,360,Cell 150 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,46,368,Cell 151 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,47,376,Cell 151 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,48,384,Cell 152 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,49,392,Cell 152 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,50,400,Cell 153 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,51,408,Cell 153 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,52,416,Cell 154 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,53,424,Cell 154 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,54,432,Cell 155 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,55,440,Cell 155 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,56,448,Cell 156 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,57,456,Cell 156 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,58,464,Cell 157 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,59,472,Cell 157 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,60,480,Cell 158 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,61,488,Cell 158 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
,,,62,496,Cell 159 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,17
,,,63,504,Cell 159 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,17
0x012,DC-DC Status,8,,,,,,,,,,,,18
,,,0-1,0,Input Voltage,~20v for LV (LV only. Send 0 for HV),,0,16383,0,32,x/512,Volts,18
,,,2-3,16,Output Voltage,~12v for LV and ~20v for HV,,0,16383,0,32,x/512,Volts,18
,,,4-5,32,Input Current,Input current (LV only. Send 0 for HV),,0,16383,0,32,x/512,Amps,18
,,,6-7,48,Output Current,Output current,,0,16383,0,32,x/512,Amps,18
,,,8,64,DC-DC Temp,Temp of DC-DC converter,,0,255,0,255,1x,Celsius,18
0x013,Inverter Status 1,6,,,,,,,,,,,,19
,,,0-1,0,AC current,"0.01 * current, int16_t",u16,0,65535,-327.68,327.67,0.01x-327.68,Amps,19
,,,2-3,16,DC current,"0.01 * current, int16_t",u16,0,65535,0,655.35,0.01x,Amps,19
,,,4-5,32,Motor RPM,"RPM, int16_t",u16,0,65535,-32768,32767,x-32768,RPM,19
0x014,Inverter Status 2,6,,,,,,,,,,,,20
,,,0-1,0,U MOSFET temperature,"Celsius + 40, uint8_t",u8,0,255,-40,215,x-40,Celsius,20
,,,2-3,16,V MOSFET temperature,"Celsius + 40, uint8_t",u8,0,255,-40,215,x-40,Celsius,20
,,,4-5,32,W MOSFET temperature,"Celsius + 40, uint8_t",u8,0,255,-40,215,x-40,Celsius,20
0x015,Inverter Status 3,3,,,,,,,,,,,,21
,,,0,0,Motor temperature,"Celsius + 40, uint8_t",u8,0,255,-40,215,x-40,Celsius,21
,,,1,16,Over voltage faults,TS above set max voltage,b,0,1,~,~,~,Bool,21
,,,,17,Under voltage fault,TS below set min voltage,b,0,1,~,~,~,Bool,21
,,,,18,Inv. overtemp fault,Inverter over set max temp,b,0,1,~,~,~,Bool,21
,,,,19,Motor overtemp fault,Motor over set max temp,b,0,1,~,~,~,Bool,21
,,,,20,Transistor fault,Mosfet or mosfet drive error,b,0,1,~,~,~,Bool,21
,,,,21,Encoder fault,Encoder communication or calc error,b,0,1,~,~,~,Bool,21
,,,,22,CAN fault,CAN message error or timeout,b,0,1,~,~,~,Bool,21
,,,,23,Future use,,b,0,1,~,~,~,Bool,21
0x016,Inverter Config,7,,,,,,,,,,,,22
,,,0-1,0,Max AC Current,Max AC Current,u16,0,65535,-327.68,327.67,0.01x-327.68,Amps,22
,,,2-3,16,Max DC Current,Max DC Current,u16,0,65535,-327.68,327.67,0.01x-327.68,Amps,22
,,,4-5,32,Absolute Max RPM Limit,0: No limit      n :limited at n RPM,u16,0,65535,-32768,32767,x-32768,RPM,22
,,,6,48,Motor direction,Write 1 inverts direction,b,0,1,-,-,-,Enable,22
,,,,49,Field weakening,Write 1 to enable field weakening,b,0,1,-,-,-,Enable,22
0x017,Inverter Command,7,,,,,,,,,,,,23
,,,0-1,0,Set AC Current,Commanded AC Current,u16,0,65535,-327.68,327.67,0.01x-327.68,Amps,23
,,,2-3,16,Set DC Current,Commanded DC Current,u16,0,65535,-327.68,327.67,0.01x-327.68,Amps,23
,,,4-5,32,RPM Limit,0: No limit      n :limited at n RPM,u16,0,65535,-32768,32767,x-32768,RPM,23
,,,6,48,Drive enable,Write this to 1 every 100ms to enable inverter,b,0,1,-,-,-,Enable,23
0x018,Fan Status,4,,,,,,,,,,,,24
,,,0-1,0,Fan Speed,Fan RPM,u16,0,65535,0,65535,1x,RPM,24
,,,2,16,Input Voltage,0-22,u8,0,255,0,25.5,0.1x,Volts,24
,,,3,24,Input Current,0-10,u8,0,255,0,25.5,0.1x,Amps,24
0x019,Fan Command,1,,,,,,,,,,,,25
,,,0,0,Fan Command,0-100 Percent,u8,0,255,0,255,1x,%,25
0x01A,Dash Status,3,,,,,,,,,,,,26
,,,0,0,BMS LED,State of BMS LED,b,0,1,~,~,~,Bool,26
,,,,1,IMD LED,State of IMD LED,b,0,1,~,~,~,Bool,26
,,,,2,BSPD LED,State of BSPD LED,b,0,1,~,~,~,Bool,26
,,,1,8,TS Button Data,"MSB is state (1: pressed)
Other 7 bits represent the time in 0.1s that it has been in that state",s8,-128,127,0,12.7,abs(x)/10,Seconds,26
,,,2,16,RTD Button Data,"MSB is state (1: pressed)
Other 7 bits represent the time in 0.1s that it has been in that state",s8,-128,127,0,12.7,abs(x)/10,Seconds,26
0x01B,Dash Config,7,,,,,,,,,,,,27
,,,0,0,BMS LED,"LED command (0: off, 1: on)",b,0,1,~,~,~,Bool,27
,,,,1,IMD LED,"LED command (0: off, 1: on)",b,0,1,~,~,~,Bool,27
,,,,2,BSPD LED,"LED command (0: off, 1: on)",b,0,1,~,~,~,Bool,27
,,,1,8,Button LED 1 R,RGB LED Brightness,u8,0,255,0,255,1x,RGB,27
,,,2,16,Button LED 1 G,RGB LED Brightness,u8,0,255,0,255,1x,RGB,27
,,,3,24,Button LED 1 B,RGB LED Brightness,u8,0,255,0,255,1x,RGB,27
,,,4,32,Button LED 2 R,RGB LED Brightness,u8,0,255,0,255,1x,RGB,27
,,,5,40,Button LED 2 G,RGB LED Brightness,u8,0,255,0,255,1x,RGB,27
,,,6,48,Button LED 2 B,RGB LED Brightness,u8,0,255,0,255,1x,RGB,27
0x01C,Steering Status,4,,,,,,,,,,,,28
,,,0,0,Current Encoder,Position of knob (1-16),u4,0,15,1,16,1x,Position,28
,,,,4,Torque Map Encoder,Position of knob (1-16),u4,0,15,1,16,1x,Position,28
,,,1,8,Regen,Position of knob (1-16),u8,0,255,0,255,1x,Position,28
,,,2,9,Button 1,Button State,b,0,1,~,~,~,Bool,28
,,,,10,Button 2,Button State,b,0,1,~,~,~,Bool,28
,,,,11,Button 3,Button State,b,0,1,~,~,~,Bool,28
,,,,12,Button 4,Button State,b,0,1,~,~,~,Bool,28
0x01D,Steering Config,0,,,,,,,,,,,,29
,,,0,0,Reserved,Theoretically Steering wheel will just update based on ECU status,,,,,,,,29
0x01E,SAM Brake IR,1,,,,,,,,,,,,30
,,,0,0,Temp,IR Temp of Brakes,u8,0,255,0,255,1x,Celsius,30
0x01F,SAM Tire Temp,4,,,,,,,,,,,,31
,,,0,0,Outside Temp,Furthest from chassis,u8,0,255,0,255,1x,Celsius,31
,,,1,8,Outside Middle Temp,Middle of tire,u8,0,255,0,255,1x,Celsius,31
,,,2,16,Inside Middle Temp,Middle of tire,u8,0,255,0,255,1x,Celsius,31
,,,3,24,Inside Temp,Closest to chassis,u8,0,255,0,255,1x,Celsius,31
0x020,SAM IMU,12,,,,,,,,,,,,32
,,,0-1,0,Accel X,Acceleration in X-axis,u16,0,65535,-327.68,327.67,0.01x-327.68,Meters/s^2,32
,,,2-3,16,Accel Y,Acceleration in Y-axis,u16,0,65535,-327.68,327.67,0.01x-327.68,Meters/s^2,32
,,,4-5,32,Accel Z,Acceleration in Z-axis,u16,0,65535,-327.68,327.67,0.01x-327.68,Meters/s^2,32
,,,6-7,48,Gyro X,Angular velocity in X-axis,u16,0,65535,-32.768,32.767,0.001x-32.768,Meters/s^2,32
,,,8-9,64,Gyro Y,Angular velocity in Y-axis,u16,0,65535,-32.768,32.767,0.001x-32.768,Meters/s^2,32
,,,10-11,80,Gyro Z,Angular velocity in Z-axis,u16,0,65535,-32.768,32.767,0.001x-32.768,Meters/s^2,32
0x021,SAM GPS 1,8,,,,,,,,,,,,33
,,,0-3,0,Lat,Latitude in decimal degrees,u32,0,,,,,Degrees,33
,,,4-7,32,Long,Longitude in decimal degrees,u32,0,,,,,Degrees,33
0x022,SAM GPS 2,8,,,,,,,,,,,,34
,,,0-3,0,Accuracy,GPS position accuracy,u32,0,,,,,,34
,,,4-7,32,Attitude,Vehicle attitude,u32,0,,,,,,34
0x023,SAM GPS Time,8,,,,,,,,,,,,35
,,,0-3,0,Time,Time in seconds since GPS Epoch,u32,0,,,,,,35
,,,4-7,32,Time of Week Ms,Time of week in milliseconds,u32,0,,,,,,35
0x024,SAM GPS Heading,4,,,,,,,,,,,,36
,,,0-3,0,Heading from North,Heading angle relative to true North,u32,0,,,,,,36
0x025,SAM Sus Pots,1,,,,,,,,,,,,37
,,,0,0,Suspension Angle,Pot Pos,u8,0,255,0,255,1x,degrees,37
0x026,SAM TOF,2,,,,,,,,,,,,38
,,,0-1,0,Height,Ride Height,u16,0,65535,0,255,x/256,mm,38
0x027,SAM Rear Wheelspeed,2,,,,,,,,,,,,39
,,,0-1,0,Speed,Wheel RPM,u16,0,65535,-3276.8,3276.7,0.1x--3276.8,RPM,39
0x026,SAM Pushrod Force,2,,,,,,,,,,,,40
,,,0-1,0,Load Force,Pushrod Force,u16,0,65535,-3276.8,3276.7,0.1x--3276.8,N,40
0x029,TCM Status,8,,,,,,,,,,,,41
,,,0,0,Connection Status,"1: OK, 0: Timeout",b,0,1,,,,Bool,41
,,,,1,MQTT Status,"1: OK, 0: Timeout",b,0,1,,,,Bool,41
,,,,2,Epic Shelter Status,"1: In Progress, 0: Idle",b,0,1,,,,Bool,41
,,,,3,Camera Status,"1: Recording, 0: Idle",b,0,1,,,,Bool,41
,,,,4-7,Reserved,Reserved,,,,,,,,41
,,,1-2,8,Ping,Mapache ping (upload),u16,0,65535,,,,ms,41
,,,3-6,24,Cache Size,# of messages on cache (non-synced),u32,0,"4,294,967,296",,,,#,41
,,,7,56,Reserved,,,,,,,,,41
0x02A,TCM Resource Utilization,7,,,,,,,,,,,,42
,,,0,0,CPU Usage,,u8,0,255,,,,%,42
,,,1,8,GPU Usage,,u8,0,255,,,,%,42
,,,2,16,Memory Usage,,u8,0,255,,,,%,42
,,,3,24,Storage Usage,,u8,0,255,,,,%,42
,,,4,32,Power Consumption,,u8,0,255,,,,Watts,42
,,,5,40,CPU Temp,,u8,0,255,,,,Celsius,42
,,,6,48,GPU Temp,,u8,0,255,,,,Celsius,42
,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,72
,,,,,,,,,,,,,,73
,,,,,,,,,,,,,,74
,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,80
,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,83
,,,,,,,,,,,,,,84
,,,,,,,,,,,,,,85
,,,,,,,,,,,,,,86
,,,,,,,,,,,,,,87
,,,,,,,,,,,,,,88
,,,,,,,,,,,,,,89
,,,,,,,,,,,,,,90
,,,,,,,,,,,,,,91
,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,93
,,,,,,,,,,,,,,94
,,,,,,,,,,,,,,95
,,,,,,,,,,,,,,96
,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,98
,,,,,,,,,,,,,,99
,,,,,,,,,,,,,,100
,,,,,,,,,,,,,,101
,,,,,,,,,,,,,,102
,,,,,,,,,,,,,,103
,,,,,,,,,,,,,,104
,,,,,,,,,,,,,,105
,,,,,,,,,,,,,,106
,,,,,,,,,,,,,,107
,,,,,,,,,,,,,,108
,,,,,,,,,,,,,,109
,,,,,,,,,,,,,,110
,,,,,,,,,,,,,,111
,,,,,,,,,,,,,,112
,,,,,,,,,,,,,,113
,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,115
,,,,,,,,,,,,,,116
,,,,,,,,,,,,,,117
,,,,,,,,,,,,,,118
,,,,,,,,,,,,,,119
,,,,,,,,,,,,,,120
,,,,,,,,,,,,,,121
,,,,,,,,,,,,,,122
,,,,,,,,,,,,,,123
,,,,,,,,,,,,,,124
,,,,,,,,,,,,,,125
,,,,,,,,,,,,,,126
,,,,,,,,,,,,,,127
,,,,,,,,,,,,,,128
,,,,,,,,,,,,,,129
,,,,,,,,,,,,,,130
,,,,,,,,,,,,,,131
,,,,,,,,,,,,,,132
,,,,,,,,,,,,,,133
,,,,,,,,,,,,,,134
,,,,,,,,,,,,,,135
,,,,,,,,,,,,,,136
,,,,,,,,,,,,,,137
,,,,,,,,,,,,,,138
,,,,,,,,,,,,,,139
,,,,,,,,,,,,,,140
,,,,,,,,,,,,,,141
,,,,,,,,,,,,,,142
,,,,,,,,,,,,,,143
,,,,,,,,,,,,,,144
,,,,,,,,,,,,,,145
,,,,,,,,,,,,,,146
,,,,,,,,,,,,,,147
,,,,,,,,,,,,,,148
,,,,,,,,,,,,,,149
,,,,,,,,,,,,,,150
,,,,,,,,,,,,,,151
,,,,,,,,,,,,,,152
,,,,,,,,,,,,,,153
,,,,,,,,,,,,,,154
,,,,,,,,,,,,,,155
,,,,,,,,,,,,,,156
,,,,,,,,,,,,,,157
,,,,,,,,,,,,,,158
,,,,,,,,,,,,,,159
,,,,,,,,,,,,,,160
,,,,,,,,,,,,,,161
,,,,,,,,,,,,,,162
,,,,,,,,,,,,,,163
,,,,,,,,,,,,,,164
,,,,,,,,,,,,,,165
,,,,,,,,,,,,,,166
,,,,,,,,,,,,,,167
,,,,,,,,,,,,,,168
,,,,,,,,,,,,,,169
